FPM:   Word:                  Gender:
4.2    scorpion               f -> m 
4.2    annuaire               f -> m 
4.2    axe                    f -> m 
4.2    animé                  f -> m 
4.2    inculpé                f -> m 
4.2    songe                  f -> m 
4.1    vertige                f -> m 
4.1    prototype              f -> m 
4.1    filtre                 f -> m 
4.1    brouhaha               f -> m 
4      planqué                f -> m 
4      spectre                f -> m 
4      éclairage              f -> m 
4      marbre                 f -> m 
4      trimestre              f -> m 
4      suède                  f -> m 
4      pourcentage            f -> m 
4      organe                 f -> m 
4      fourré                 f -> m 
4      cédé                   f -> m 
3.9    entourage              f -> m 
3.9    sucré                  f -> m 
3.9    moïse                  f -> m 
3.9    plâtre                 f -> m 
3.9    évadé                  f -> m 
3.9    adapté                 f -> m 
3.9    pion                   f -> m 
3.8    kilomètre              f -> m 
3.8    handicapé              f -> m 
3.8    générique              f -> m 
3.8    monastère              f -> m 
3.8    soja                   f -> m 
3.8    soufflé                f -> m 
3.7    daphné                 f -> m 
3.7    porche                 f -> m 
3.7    catalogue              f -> m 
3.7    cobra                  f -> m 
3.7    dialogue               f -> m 
3.7    emballage              f -> m 
3.7    crépuscule             f -> m 
3.6    fluide                 f -> m 
3.6    poêle                  f -> m 
3.6    gendre                 f -> m 
3.6    firme                  m -> f 
3.6    diabète                f -> m 
3.6    saké                   f -> m 
3.6    murmure                f -> m 
3.6    carnage                f -> m 
3.6    brume                  m -> f 
3.6    strip-tease            f -> m 
3.5    grotesque              f -> m 
3.5    repaire                f -> m 
3.5    fa                     f -> m 
3.5    émissaire              f -> m 
3.5    manège                 f -> m 
3.5    larme                  m -> f 
3.5    stockage               f -> m 
3.5    golfe                  f -> m 
3.4    ace                    f -> m 
3.4    mercure                f -> m 
3.4    préliminaire           f -> m 
3.4    dinosaure              f -> m 
3.4    apprentissage          f -> m 
3.4    outrage                f -> m 
3.4    hymne                  f -> m 
3.3    hercule                f -> m 
3.3    morse                  f -> m 
3.3    chêne                  f -> m 
3.3    négligé                f -> m 
3.3    disciple               f -> m 
3.3    leurre                 f -> m 
3.3    pare-brise             f -> m 
3.3    clone                  f -> m 
3.3    acompte                f -> m 
3.3    cube                   f -> m 
